CategoryID,MasterCategoryID,Name
67152.0,49384,Đầm nữ trung niên
67153.0,49384,Quần nữ trung niên
67154.0,49384,Áo nữ trung niên
1509.0,4554,Áo ngực
1510.0,4554,Quần lót nữ
8347.0,4554,Nịt bụng
8344.0,4554,Bộ đồ lót nữ
67197.0,4554,Đồ lót giữ nhiệt nữ
8346.0,1508,Đồ ngủ nữ
49432.0,1508,Đồ mặc nhà
49442.0,6179,Bikini
27576.0,6179,Đồ bơi một mảnh
27578.0,6179,Đồ bơi hai mảnh
67181.0,934,Áo sơ mi nữ tay ngắn
67182.0,934,Áo sơ mi nữ tay dài
67173.0,935,Áo kiểu nữ khác
67174.0,935,Áo trễ vai
67175.0,935,Áo cúp ngực
67176.0,935,Áo ống
67177.0,935,Áo ống DELETE
67171.0,10389,Áo crop-top tay dài
67172.0,10389,Áo crop-top tay ngắn
10388.0,933,Áo hai dây - Áo ba lỗ nữ
67185.0,933,Áo thun nữ dài tay có cổ
67186.0,933,Áo thun nữ dài tay không cổ
67187.0,933,Áo thun nữ ngắn tay có cổ
67188.0,933,Áo thun nữ ngắn tay không cổ
67231.0,67230,"Đầm, váy nữ kích cỡ lớn"
67232.0,67230,Bộ quần áo nữ kích cỡ lớn
67233.0,67230,Quần nữ kích cỡ lớn
67234.0,67230,Áo nữ kích cỡ lớn
8275.0,4421,Bánh
8276.0,4421,Kẹo
8277.0,4421,Chocolate
8278.0,4421,Snack
10222.0,4421,Bánh kẹo khác
53526.0,4421,Thức ăn khô
53528.0,4421,Các Loại Đồ Ăn Vặt Khác
67057.0,4421,Thạch các loại
67058.0,4421,Pudding
53556.0,4421,Mứt trái cây
67065.0,4421,Đặc sản địa phương
67066.0,4421,Bỏng ngô
67067.0,4421,Các loại rong biển ăn liền
67068.0,4421,Khoai tây lát
6548.0,4421,Các loại đậu sấy khô
67069.0,4421,Các loại hạt sấy khô
67103.0,4421,Trái cây rau củ sấy
67507.0,4421,Bánh tráng
4393.0,15074,Thực phẩm khô
11304.0,15074,Đặc sản Việt Nam
4419.0,15074,Đồ hộp
53558.0,15074,Thực phẩm khác
68544.0,15074,Đậu
68556.0,15074,Thực phẩm chế biến sẵn
4426.0,24024,Đồ uống có gas
15076.0,24024,Đồ uống không gas
8282.0,4422,Gia vị
8283.0,4422,Nước chấm và nước sốt
5477.0,4422,Dầu ăn
11256.0,4422,Nấu ăn và làm bánh
53530.0,5451,Thức ăn thú cưng
53540.0,5451,Phụ kiện thú cưng
66986.0,5451,Chăm sóc sức khỏe thú cưng
66991.0,5451,Dụng cụ chăm sóc thú cưng
66995.0,5451,Đồ dùng vệ sinh thú cưng
67034.0,5451,Dung dịch vệ sinh thú cưng
53574.0,11347,Bánh Trung Thu
53576.0,11347,Hộp Quà Tết
53578.0,11347,Hộp Quà Tặng
53580.0,11347,Hàng Mùa Vụ Khác
8274.0,22998,Trà
4423.0,22998,Cà phê
5478.0,22998,"Ngũ cốc, bột"
53560.0,22998,Các loại đồ uống khác
53612.0,22998,Nước đóng chai
53614.0,22998,Nước Trái Cây
68660.0,22998,Nước ngọt & đồ uống không cồn
68676.0,22998,Bột chocolate
68677.0,22998,Bột pha nước trái cây
68678.0,22998,Siro các loại
8273.0,53562,Sữa nước
4427.0,53562,Sữa Chức Năng Dạng Bột
53572.0,53562,Các Sản Phẩm Từ Sữa Khác
67508.0,53562,Sữa bột
67509.0,53562,Sữa đặc
11343.0,53582,Rượu
53584.0,53582,Bia Nội Địa
53586.0,53582,Bia Nhập Khẩu
53588.0,53582,Bia Thủ Công
11344.0,53582,Nước hoa quả lên men
48030.0,53582,Rượu vang
48032.0,53582,Rượu mạnh
48036.0,53582,Rượu gạo - Soju - Sake
53604.0,53582,Các loại rượu khác
68607.0,53582,Rượu Champagnes
68609.0,53582,Rượu trái cây
,53620,
68577.0,68576,Bánh ngũ cốc
68578.0,68576,Bơ phết
68579.0,68576,Bột bánh pancake & waffle
68580.0,68576,Bột ngũ cốc
68581.0,68576,Mật Ong
68582.0,68576,Mứt
68583.0,68576,Ngũ cốc ăn sáng
68584.0,68576,Ngũ cốc Muesli
68585.0,68576,Thanh
68586.0,68576,Yến mạch
1977.0,8411,Bóng bàn
8438.0,8411,Cầu lông
8440.0,8411,Tennis
8443.0,4227,Bóng chày
2980.0,4227,Bóng rổ và dụng cụ bóng rổ
2981.0,4227,Bóng Đá
8444.0,4227,Bóng chuyền
2156.0,4227,Cầu Đá - Cầu Mây
23960.0,23120,Kendo
