SubCategoryID,CategoryID,Name
67963.0,8319,Dao mài
67964.0,8319,Bộ dao bếp
23156.0,5433,Khuôn làm bánh
23162.0,5433,Khay nướng bánh
23168.0,5433,Dụng cụ đo lường
3515.0,5433,Cân nhà bếp
5454.0,5433,Dụng  cụ làm bánh khác
23166.0,5433,Cây Cán Bột
23164.0,5433,Cây đánh trứng
67551.0,5433,Cọ Quét - Miếng Vét - Cây Vét
67552.0,5433,Đo Nhiệt Độ
67553.0,5433,Đui bắt kem
67554.0,5433,Dụng Cụ Cắt Bánh
67555.0,5433,Dụng Cụ Làm Bánh Kem
67556.0,5433,Giấy Nến - Giấy chống dính
67557.0,5433,Phụ kiện trang trí bánh
67558.0,5433,Ray Bột
67559.0,5433,Thảm nướng bánh
,6305,
2849.0,11808,Bếp nướng
23184.0,11808,Các loại cồn
23180.0,11808,Vỉ nướng
23182.0,11808,Các loại than
23186.0,11808,Dụng cụ mồi lửa
2513.0,1986,"Dụng cụ xay, giã"
23210.0,1986,"Dụng cụ ép trái cây, vắt cam"
23216.0,1986,"Màng nhôm, giấy bạc bọc thực phẩm"
23220.0,1986,"Khay, khuôn làm đá"
23228.0,1986,"Chậu, vòi rửa chén bát"
2514.0,1986,Phụ kiện nhà bếp khác
2512.0,1986,Thớt nhà bếp
23024.0,1986,"Miếng rửa chén, chà nồi"
68073.0,1986,Găng tay nấu nướng
68074.0,1986,Khăn lau bếp
68075.0,1986,Tạp dề
68076.0,1986,Thảm nhà bếp
2136.0,53052,Bộ nồi
1984.0,53052,Chảo chiên
23126.0,53052,Xửng hấp
11804.0,53052,Nồi áp suất
23124.0,53052,Nồi lẩu
5193.0,53052,Nồi ủ
5459.0,53052,Quánh/Nồi nấu bột
68050.0,53052,Bộ chảo
68051.0,53052,Bộ nồi chảo
68052.0,53052,Chảo bánh khọt
68053.0,53052,Chảo bò né
68054.0,53052,Chảo chiên trứng
68055.0,53052,Chảo hai mặt
68056.0,53052,Chảo nướng
68057.0,53052,Chảo xào
68058.0,53052,Nồi đất
68059.0,53052,Nồi lẻ
68060.0,53052,Nồi luộc gà
68035.0,68034,Bộ hộp cơm giữ nhiệt
68036.0,68034,Bộ hộp cơm Inox
68037.0,68034,Bộ hộp cơm thủy tinh
68038.0,68034,Khay cơm phần
68039.0,68034,Túi đựng hộp cơm
,23132,
,6963,
23286.0,2014,Bình lọc
23288.0,2014,Lõi lọc
23290.0,2014,Thiết bị lọc
23292.0,3990,Bộ bình ly uống trà
23294.0,3990,Ly trà
23296.0,3990,Bình trà
23302.0,3990,Phụ kiện uống trà
23306.0,23304,Bình pha cà phê
23310.0,23304,Ly cà phê
6967.0,3177,Ly bia
23316.0,3177,Ly kem
6965.0,3177,Ly rượu
67819.0,3177,Ly cocktail
67839.0,3177,Ly pha chế
67840.0,3177,"Ly, cốc nước"
67330.0,3179,Bộ muỗng nĩa
67331.0,3179,Dao ăn
67332.0,3179,Đũa
67333.0,3179,Muỗng/thìa
67334.0,3179,Nĩa
,23322,
23334.0,3180,Gạt tàn thuốc
23336.0,3180,Hộp khăn giấy
23338.0,3180,Khay mứt
23340.0,3180,Phụ kiện phòng ăn khác
67518.0,3180,"Hộp đựng đũa, muỗng, nĩa"
67519.0,3180,Hộp đựng tăm
67520.0,3180,Khăn trải bàn
67521.0,3180,Khăn/ Giấy ăn
67522.0,3180,Khay - Mâm
23342.0,3178,Bộ tô chén dĩa
67515.0,3178,Chén
67516.0,3178,Dĩa
67517.0,3178,Tô
,23282,
,23346,
8315.0,23352,Chăn điện
23356.0,23352,Ruột chăn
23358.0,23352,Vỏ chăn
23362.0,6724,Gối gòn
23366.0,6724,Ruột gối
23370.0,6724,Vỏ gối
23364.0,6724,Gối ôm
23360.0,6724,Gối cổ/gối du lịch
8325.0,6724,Gối tựa lưng
67905.0,6724,Gối cao su
67906.0,6724,Gối Foam
