Title,Rating,Image URL
OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max (Only) - Symmetry Series Case - Reset Purple - Ultra-Sleek - Wireless Charging Compatible - Raised Edges Protect Camera & Screen - Non-Retail Packaging,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61ldaJ9nH2L.__AC_SX300_SY300_QL70_ML2_.jpg
"Twelve South BookBook for iPhone 15 Max | MagSafe Compatible Genuine Leather Wallet Case with Display Stand + Removable Stand-Alone Leather Accent Case, Brown",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71bRKjF-2aL.__AC_SX300_SY300_QL70_ML2_.jpg
Pelican Shield Magnetic Wallet & Card Holder [RFID Blocking] Heavy Duty Mil-Spec Snap-On MagSafe Wallet - Detachable Hard Shell Wallet for iPhone 15 Pro Max/14 Pro Max/13 Pro Max/12 Pro Max - Titanium,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71dt2i+3mfL._AC_SY300_SX300_.jpg
"ORIbox for iPhone 12 Pro Max Case Clear, [10 FT Military Grade Drop Protection], Transparent Heavy Duty Shockproof Anti-Fall Case for iPhone 12 Pro Max Phone Case,6.7 inch,3 in 1, Crystal Clear",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71NpqOblwHL.__AC_SX300_SY300_QL70_ML2_.jpg
"Custom Embossed iPhone Case - Personalized Leather Case for iPhone 15, 14, 13, 12, 11, XR, XS, X, 8, 7 Plus, Pro, Max, SE, Mini - Custom Text, Date, Name, Initials, Monogram, Engraving, Gift idea",4.2 out of 5 stars,https://m.media-amazon.com/images/I/41+tS++Ej-L.jpg
OtterBox Symmetry Series+ Case with MagSafe for iPhone 12 PRO MAX (ONLY) Retail Packaging - Navy Captain Blue,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51QDPIj4+UL._AC_SY300_SX300_.jpg
"USB C Cable, INIU (2-Pack 6.6ft) 100W PD 5A QC 4.0 Fast Charging USB C to USB C Cable, Nylon Braided Type C Data USB-C Cable for Samsung Galaxy S20+ S10 Note 10 iPad Pro MacBook Tablets LG Google etc.",4.7 out of 5 stars,https://m.media-amazon.com/images/I/814+BTS-INL._AC_SY300_SX300_.jpg
"UBeesize 92’’ Cell Phone Tripod Stand with 16.5’’ Gooseneck and Remote, Overhead Tripod with Adjustable 360°Ball Head & Phone Holder for iPhone 14 Pro Max/Plus/13/12/11, Android Cell Phone",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61hjjIH1ThL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox Defender Series Screenless Edition Case for iPhone 13 Pro Max & iPhone 12 Pro Max (Only) - Case Only - Non-Retail Packaging - Hunter Green,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71DGaYqMjJL.__AC_SX300_SY300_QL70_ML2_.jpg
"ORIbox Glass Screen Protector for iPhone 12 Pro Max, 3 Packs Anti-Scratch HD Tempered Glass Screen Protector with 2 Packs Camera Lens Protector, Clear",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71akQ3MfAJL.__AC_SX300_SY300_QL70_ML2_.jpg
